,Date,Low,High,Close,Open,Volume,Adj Close
1557,2016-10-21,129.7,132.13,132.07,129.78,19088794.0,132.07
1556,2017-11-09,177.09,179.4,179.3,178.31,12460345.0,179.3
1555,2015-05-07,77.56,78.94,78.425,78.0,19749428.0,78.425
1554,2013-05-28,23.92,24.54,24.1,24.54,50079700.0,24.1
1553,2016-02-12,101.09,104.24,102.01,103.74,36176760.0,102.01
1552,2013-04-24,25.8,26.4,26.11,25.93,19729900.0,26.11
1551,2014-04-14,57.78,60.45,58.89,60.09,72325000.0,58.89
1550,2015-10-19,96.92,98.57,98.47,97.18,23729924.0,98.47
1549,2016-03-22,111.17,112.88,112.25,111.36,19001076.0,112.25
1548,2016-12-13,117.61,121.52,120.31,117.86,29768028.0,120.31
1547,2018-03-08,181.45,184.4,182.34,183.56,15336555.0,182.34
1546,2013-03-15,26.56,27.06,26.645,27.03,31597400.0,26.645
1545,2016-11-02,126.28,130.23,127.17,130.23,50190225.0,127.17
1544,2013-11-25,44.04,46.65,44.82,46.36,82565000.0,44.82
1543,2013-09-05,41.77,42.765,42.66,41.79,50035400.0,42.66
1542,2017-03-17,139.7,140.34,139.84,140.34,20592818.0,139.84
1541,2017-09-08,170.8,173.49,170.95,173.09,10936358.0,170.95
1540,2014-04-10,58.68,63.18,59.16,63.08,114988000.0,59.16
1539,2017-11-30,175.2,178.275,177.18,176.85,25127073.0,177.18
1538,2015-07-23,94.81,97.45,95.44,96.96,29418833.0,95.44
1537,2016-01-05,101.665,103.7099,102.73,102.89,23258238.0,102.73
1536,2017-05-26,151.15,152.25,152.13,152.23,14907827.0,152.13
1535,2014-01-31,60.17,63.37,62.57,60.47,87794600.0,62.57
1534,2014-12-17,74.9,76.41,76.11,75.01,29203904.0,76.11
1533,2015-06-03,81.25,82.53,82.44,81.35,31774993.0,82.44
1532,2017-11-07,178.96,180.75,180.25,180.5,12679885.0,180.25
1531,2013-02-20,28.33,29.05,28.462,28.92,42098200.0,28.462
1530,2015-09-17,92.9,95.51,94.34,93.37,27841803.0,94.34
1529,2017-01-10,124.28,125.5,124.35,124.82,17324590.0,124.35
1528,2017-11-08,179.11,180.35,179.56,179.79,10494149.0,179.56
1527,2012-06-19,30.7,32.18,31.911,31.535,30849000.0,31.911
1526,2016-10-04,127.5499,129.2765,128.19,129.17,14307548.0,128.19
1525,2016-07-05,112.97,114.11,114.0,113.94,14207037.0,114.0
1524,2016-01-08,97.0311,100.5,97.33,99.88,35402298.0,97.33
1523,2016-12-09,118.95,119.94,119.68,119.22,17464736.0,119.68
