,Date,Low,High,Close,Open,Volume,Adj Close
7199,1997-09-05,136.25,139.69,137.31,139.06,6049800.0,11.3242
7198,2012-07-06,29.95,30.7,30.185,30.61,38294800.0,25.8144
7197,1992-11-03,87.62,89.75,88.25,89.5,1102100.0,1.8195
7196,2009-04-01,18.18,19.36,19.31,18.23,96438900.0,15.304
7195,1997-09-08,137.75,139.81,139.31,137.75,5302000.0,11.4891
7194,2001-02-27,58.67,61.19,59.38,59.38,49574300.0,19.5887
7193,2015-04-17,41.16,41.74,41.615,41.67,42387608.0,38.5042
7192,2005-06-29,25.0,25.32,25.09,25.22,55859900.0,18.7476
7191,1998-06-15,84.56,87.31,85.94,84.69,10711500.0,14.1752
7190,2003-02-12,46.26,47.1,46.44,46.55,35657600.0,15.32
7189,1998-02-11,157.06,160.06,158.94,159.38,9557500.0,13.1081
7188,2015-04-08,41.04,41.69,41.42,41.46,24753438.0,38.3238
7187,2006-12-04,29.17,29.52,29.33,29.23,55123400.0,22.3616
7186,2001-02-22,53.88,56.81,55.19,56.31,50408200.0,18.2065
7185,2004-03-05,26.2,26.6,26.35,26.23,59849800.0,17.5377
7184,2003-04-10,24.28,24.79,24.59,24.71,51608900.0,16.2768
7183,1999-01-07,148.25,150.63,150.5,149.75,12787600.0,24.824
7182,2004-01-16,27.53,27.88,27.81,27.74,63983400.0,18.5095
7181,2013-07-02,33.63,34.4389,33.94,34.41,37630000.0,29.9118
7180,2000-06-23,77.0,80.06,77.69,79.94,24905800.0,25.6289
7179,2000-08-28,70.12,72.12,71.31,70.19,28210800.0,23.5242
7178,2000-01-31,94.87,98.19,97.87,97.62,36597100.0,32.2861
7177,2009-06-09,21.88,22.32,22.08,22.06,50887700.0,17.6114
7176,2003-08-14,25.52,25.71,25.63,25.66,37338300.0,16.9652
7175,1994-04-28,91.75,95.25,92.12,95.25,4418200.0,1.8993
7174,1998-08-28,104.75,109.62,105.25,108.25,18182500.0,17.3603
7173,2017-09-29,73.88,74.535,74.49,73.94,16700435.0,73.4561
7172,2006-12-22,29.62,29.86,29.64,29.825,37971700.0,22.598
7171,2010-06-21,25.89,26.89,25.95,26.78,54625300.0,21.0938
7170,2013-08-28,33.0,33.6,33.02,33.39,44257400.0,29.3087
7169,2004-08-05,27.52,28.21,27.53,28.14,55591700.0,18.3231
7168,2005-02-24,25.15,25.4401,25.37,25.18,85236300.0,18.8975
7167,2015-07-29,45.26,46.78,46.29,45.4,40945864.0,43.1088
7166,1990-12-27,74.5,75.25,74.75,75.0,314267.0,0.685
7165,1991-10-10,88.5,90.5,89.75,90.5,876000.0,1.2336
7164,2018-06-08,100.54,101.95,101.63,101.0924,22165128.0,101.63
7163,1993-09-17,75.25,76.5,76.0,75.5,790200.0,1.567
7162,2006-04-17,26.73,27.05,26.84,27.01,35796200.0,20.2405
7161,1995-08-29,87.0,91.87,91.87,90.12,10245600.0,3.7883
7160,1994-10-20,57.88,59.88,59.63,58.25,8534900.0,2.4589
7159,2004-04-02,25.44,25.9,25.85,25.47,98043800.0,17.205
7158,1998-10-13,95.75,99.75,96.44,99.5,11998900.0,15.9072
7157,2012-12-04,26.34,26.63,26.37,26.5,49777500.0,22.8942
7156,2016-11-11,58.01,59.116,59.02,58.23,38767843.0,56.8468
7155,2013-01-31,27.4,27.97,27.45,27.79,50530000.0,23.8318
7154,2006-10-09,27.62,27.93,27.72,27.8,33366300.0,21.0621
7153,2016-09-22,57.63,58.0,57.82,57.92,19822203.0,55.691
7152,2011-05-04,25.79,26.25,26.06,25.85,73292300.0,21.5538
7151,1994-08-05,52.25,52.88,52.5,52.63,1950300.0,2.1649
7150,2013-11-13,36.9,38.16,38.155,36.98,44957600.0,33.8665
7149,2005-10-14,24.4992,24.73,24.67,24.71,53846700.0,18.4882
7148,1996-09-19,135.75,138.25,137.75,136.5,4744500.0,5.6802
7147,2013-11-04,35.55,35.98,35.94,35.59,28060700.0,31.9005
7146,2002-11-21,56.78,58.0,57.84,56.98,41461100.0,19.0807
7145,2016-08-05,57.45,58.21,57.96,57.65,29335221.0,55.4781
7144,2004-04-14,25.38,25.68,25.51,25.4,61079600.0,16.9787
7143,2010-07-16,24.88,25.64,24.89,25.51,65064800.0,20.2321
7142,2007-05-24,29.96,30.8,30.17,30.54,64046400.0,23.156
7141,2003-03-27,24.59,25.26,25.04,24.94,60043300.0,16.5746
7140,1996-10-03,133.63,135.13,134.0,134.75,3643400.0,5.5256
7139,2011-09-07,25.57,26.0,26.0,25.69,41961000.0,21.7811
7138,1998-07-17,115.94,119.62,117.94,117.5,20777100.0,19.4534
7137,1999-11-16,85.87,87.75,87.31,86.94,29582600.0,28.8024
7136,2005-02-28,25.1296,25.37,25.16,25.22,82728000.0,18.7411
7135,1992-01-24,124.0,125.5,124.62,124.5,786600.0,1.7129
7134,2013-05-24,33.9,34.28,34.269,33.92,33174400.0,30.2018
7133,1996-07-15,109.87,113.75,110.62,112.37,6989500.0,4.5615
7132,1990-10-16,54.0,57.63,54.63,56.75,4178978.0,0.5006
7131,1998-12-30,138.88,143.36,139.0,140.88,8735700.0,22.9272
7130,1992-09-09,76.5,78.37,78.12,76.75,1905700.0,1.6107
7129,2013-12-23,36.55,36.89,36.62,36.81,25128700.0,32.7518
7128,1996-08-28,124.87,125.75,125.62,125.0,2004400.0,5.1801
7127,1993-02-22,76.75,81.0,76.75,79.75,2383000.0,1.5824
7126,2002-05-31,50.88,53.42,50.91,52.9,33234000.0,16.7946
7125,1998-04-17,90.31,92.25,92.12,91.5,9350700.0,15.1946
7124,2016-05-04,49.46,50.06,49.87,49.84,24257556.0,47.3967
7123,1995-11-22,87.25,89.5,87.37,88.37,4089300.0,3.6028
7122,1999-11-09,86.44,89.87,88.87,89.75,54884900.0,29.3171
7121,2009-02-19,17.81,18.38,17.91,18.3,49195600.0,14.1945
7120,2004-11-04,28.38,29.0,29.0,28.39,87867700.0,19.3582
7119,2001-04-20,68.5,71.1,69.0,70.3,96459800.0,22.7622
7118,1991-06-14,111.0,113.75,113.5,111.25,643867.0,1.0401
7117,2004-09-22,27.07,27.74,27.12,27.23,68409000.0,18.1032
7116,2005-01-05,26.76,27.1,26.78,26.84,72463500.0,19.8865
7115,2008-10-09,22.07,23.91,22.3,23.765,131948700.0,17.4321
7114,2006-03-27,27.0,27.3,27.01,27.02,59908600.0,20.3687
7113,2018-03-09,95.0,96.54,96.54,95.29,36145524.0,96.1244
7112,1997-12-16,135.0,140.38,139.06,135.88,8175200.0,11.4685
7111,1997-05-21,119.75,122.94,120.37,120.62,9577500.0,9.9271
7110,2005-10-19,24.5,25.09,25.09,24.56,66574500.0,18.8029
7109,2007-06-13,29.8501,30.41,30.39,29.97,64435600.0,23.3249
7108,2015-09-25,43.76,44.73,43.94,44.48,29384601.0,41.1887
7107,2008-04-02,29.0,29.58,29.16,29.57,49499400.0,22.6197
7106,1999-06-10,79.06,82.31,79.87,81.87,17638700.0,26.3481
7105,1995-07-27,96.25,97.62,96.5,96.5,3307300.0,3.9793
7104,2004-07-12,27.59,28.001,27.89,27.69,45757300.0,18.5627
7103,2017-05-31,69.81,70.74,69.84,70.53,29538356.0,68.5057
7102,2012-09-17,31.04,31.26,31.21,31.19,36488500.0,26.8681
7101,2012-05-18,29.17,29.81,29.27,29.79,56205300.0,25.0318
7100,2007-03-07,27.55,27.9,27.61,27.76,52044700.0,21.1228
7099,2016-12-13,62.24,63.42,62.98,62.5,35718868.0,61.0628
7098,2009-03-05,15.2675,15.88,15.27,15.86,89708500.0,12.1021
7097,1999-10-11,94.12,95.0,94.31,94.62,9971900.0,31.1117
7096,2007-05-30,30.51,31.13,31.11,30.55,57376800.0,23.8775
7095,1991-09-04,81.0,83.5,82.62,83.25,801400.0,1.1356
7094,2013-10-25,35.47,36.29,35.73,35.88,113494000.0,31.7141
7093,2006-04-03,27.44,27.73,27.56,27.67,57605300.0,20.7834
7092,2018-07-18,104.715,106.05,105.12,105.94,29493927.0,105.12
7091,1990-03-09,105.25,108.0,106.5,106.0,526000.0,0.488
7090,2018-04-17,94.88,96.54,96.07,95.0,26771000.0,95.6565
7089,2017-06-19,70.35,70.945,70.87,70.5,23146852.0,69.5161
7088,1999-06-18,82.12,85.0,85.0,82.31,34558100.0,28.0404
7087,1998-04-08,86.62,89.0,88.94,86.75,9198300.0,14.6701
7086,2005-05-04,25.11,25.4,25.21,25.32,86864200.0,18.7784
7085,2013-11-01,35.39,35.69,35.525,35.67,40264600.0,31.5321
7084,1995-12-13,90.5,92.12,91.75,91.12,2473600.0,3.7834
7083,1999-09-16,90.62,94.06,94.0,92.87,22898000.0,31.0094
7082,2017-04-10,65.36,65.82,65.53,65.61,17952742.0,63.9189
7081,2013-08-30,33.09,33.48,33.4,33.37,42790200.0,29.646
7080,1996-01-29,89.36,91.25,90.37,90.75,2474200.0,3.7265
7079,2002-07-23,42.97,46.8,43.01,46.49,84030800.0,14.1884
7078,2001-04-11,59.7,61.5,60.04,60.65,54939800.0,19.8064
7077,2004-12-16,27.01,27.28,27.16,27.145,88997500.0,20.1687
7076,2004-06-15,26.97,27.6,27.405,26.98,114183400.0,18.2399
7075,2004-08-02,28.16,28.55,28.52,28.27,52267000.0,18.982
7074,2016-09-14,56.03,56.63,56.26,56.39,24274273.0,54.1884
7073,2007-11-30,33.19,34.12,33.6,33.92,71027800.0,25.9624
7072,2007-09-28,29.23,29.69,29.46,29.49,45819100.0,22.6911
7071,2008-05-08,29.0,29.39,29.27,29.26,69589900.0,22.705
7070,1991-08-22,83.25,85.25,84.0,84.25,908867.0,1.1546
7069,2017-03-16,64.3,64.76,64.64,64.75,20674296.0,63.0508
7068,1992-02-03,117.5,125.5,125.0,118.25,1672200.0,1.7182
7067,2000-03-31,104.12,108.25,106.25,106.0,32140700.0,35.0505
7066,2010-02-23,28.09,28.83,28.33,28.68,52266200.0,22.9242
7065,2017-11-03,83.4,84.54,84.14,84.08,17569120.0,82.9722
7064,1999-06-08,79.0,82.12,79.37,79.87,20758200.0,26.1831
7063,1992-01-10,124.0,127.75,125.25,127.0,1346667.0,1.7216
7062,2012-10-19,28.5,29.08,28.64,29.05,90470800.0,24.6556
7061,1997-11-24,135.5,138.13,135.5,137.13,4885500.0,11.1749
7060,2007-01-29,30.34,30.78,30.53,30.65,57605900.0,23.2765
7059,2012-07-10,29.51,30.22,29.74,30.08,37534100.0,25.4338
7058,1991-05-14,100.75,103.25,101.25,102.62,816844.0,0.9278
7057,2012-08-13,30.16,30.46,30.39,30.35,23049100.0,25.9897
7056,2017-08-18,71.93,72.84,72.49,72.27,18215276.0,71.4839
7055,1995-09-21,90.5,93.06,90.62,91.25,5239800.0,3.7368
7054,2009-11-13,29.37,29.79,29.63,29.47,53037600.0,23.7637
7053,1990-11-08,63.0,64.75,63.5,63.5,603644.0,0.5819
7052,2011-09-26,24.73,25.52,25.44,25.19,51057600.0,21.312
7051,2007-02-21,28.74,29.39,29.35,28.75,68604900.0,22.454
7050,1995-12-06,86.0,91.0,90.62,86.12,9079500.0,3.7368
7049,1992-10-15,82.75,84.75,84.5,83.25,1123200.0,1.7422
