,Date,Low,High,Close,Open,Volume,Adj Close
5939,2000-04-24,114.75,120.5,120.5,115.0,3960900.0,3.8273
5938,1996-10-30,22.87,24.0,22.87,23.5,2295100.0,0.7264
5937,2002-10-08,13.36,13.96,13.69,13.9,8100800.0,0.8696
5936,2012-10-17,644.0,652.79,644.6136,648.87,13894200.0,82.2456
5935,2005-12-16,71.06,72.3,71.11,72.14,23970400.0,9.0343
5934,2012-01-30,445.39,453.9,453.01,445.71,13547900.0,57.5534
5933,2010-11-05,316.75,319.57,317.13,317.99,12901900.0,40.2903
5932,1998-04-28,26.25,28.0,26.94,27.87,2117600.0,0.8557
5931,2001-08-07,18.98,19.67,19.25,19.33,3009800.0,1.2228
5930,1996-10-08,23.25,24.25,23.25,23.5,1700300.0,0.7385
5929,2008-02-27,118.09,123.05,122.96,118.23,52683500.0,15.6217
5928,1996-01-24,31.75,32.25,32.25,32.13,5856200.0,1.0243
5927,2013-02-04,442.0,455.94,442.316,453.91,17039900.0,56.7027
5926,1996-11-08,25.75,26.25,26.25,25.87,1684900.0,0.8337
5925,2018-05-24,186.21,188.84,188.15,188.77,23233975.0,188.15
5924,1995-11-10,38.88,40.25,39.75,39.38,1992100.0,1.2586
5923,2009-09-09,169.7,174.47,171.14,172.78,28967400.0,21.7428
5922,2009-01-20,78.2,82.0,78.2,81.93,32854100.0,9.935
5921,2010-02-03,194.42,200.2,199.23,195.17,21976000.0,25.3115
5920,2008-11-17,87.26,90.55,88.14,88.48,41518800.0,11.1979
5919,2000-10-26,17.5,18.87,18.5,18.81,12890200.0,1.1752
5918,2005-02-28,43.96,45.14,44.86,44.68,11635900.0,5.6993
5917,2002-12-05,14.53,15.08,14.63,15.03,4346400.0,0.9293
5916,2005-06-27,36.68,38.1,37.1,36.84,21434700.0,4.7134
5915,2017-04-11,140.06,143.35,141.63,142.94,30379376.0,138.879
5914,2016-06-28,92.14,93.66,93.59,92.9,40444914.0,90.4201
5913,2000-08-02,47.19,49.94,47.25,49.0,2899200.0,3.0015
5912,1995-12-06,38.38,39.88,38.75,39.75,1795600.0,1.2308
5911,1996-03-18,25.75,26.12,26.12,25.94,974400.0,0.8296
5910,2010-03-17,223.27,226.45,224.12,224.9,16105600.0,28.4737
5909,2005-04-04,40.16,41.31,41.09,40.99,20714800.0,5.2203
5908,1996-03-07,25.37,26.37,25.81,26.25,2322000.0,0.8198
5907,2005-06-02,39.6,40.32,40.04,40.05,13356200.0,5.0869
5906,1997-08-15,22.81,23.44,23.25,23.12,2330000.0,0.7385
5905,2002-02-06,24.15,25.98,24.67,25.61,10671000.0,1.5671
5904,1998-08-11,37.38,41.0,39.0,37.75,15709600.0,1.2387
5903,2001-07-19,19.75,21.42,19.96,21.23,15377500.0,1.2679
5902,2007-03-29,92.23,94.19,93.75,94.19,25918700.0,11.9106
5901,2010-02-17,200.86,204.31,202.55,204.19,15585600.0,25.7333
5900,2012-02-03,455.56,460.0,459.68,457.3,10235700.0,58.4008
5899,1998-12-14,32.25,33.31,32.5,32.88,4477200.0,1.0323
5898,1999-04-27,43.0,45.81,45.75,43.0,18804000.0,1.4531
5897,1998-08-20,40.25,41.13,40.63,41.0,3499300.0,1.2905
5896,2017-03-13,138.82,139.43,139.2,138.85,17421717.0,136.4962
5895,2005-01-03,62.6,65.11,63.29,64.78,12357000.0,4.0204
5894,2013-11-20,514.33,520.42,515.0,519.23,6925600.0,67.6735
5893,2002-02-08,23.37,24.64,24.03,24.41,6345200.0,1.5265
5892,1997-08-22,23.37,24.0,23.62,23.44,2032400.0,0.7502
5891,2004-08-25,31.73,33.15,33.05,31.91,9028900.0,2.0994
5890,2003-05-07,17.11,18.24,17.65,17.33,18828200.0,1.1212
5889,2014-10-23,103.63,105.051,104.83,104.08,71074674.0,98.0281
5888,2006-06-30,56.5,57.75,57.27,57.59,26417700.0,7.276
5887,1997-12-10,14.5,15.06,14.75,15.06,1740000.0,0.4685
5886,2001-08-27,18.16,19.3,18.92,18.6,3136500.0,1.2019
5885,2000-03-31,126.0,137.25,135.81,127.44,3612800.0,4.3136
5884,2014-10-14,98.57,100.52,98.75,100.39,63688562.0,92.3426
5883,2009-07-10,136.32,138.97,138.52,136.34,15902700.0,17.5985
5882,2007-06-18,122.54,125.18,125.09,123.28,32521600.0,15.8923
5881,2004-03-11,27.09,28.04,27.15,27.26,10640200.0,1.7247
5880,2010-05-11,250.5,259.89,256.52,251.84,30318100.0,32.59
5879,2007-01-12,93.23,95.06,94.62,94.59,46881800.0,12.0212
5878,2017-07-05,142.7237,144.79,144.09,143.69,20758795.0,141.8694
5877,2015-01-22,109.72,112.47,112.4,110.26,53796409.0,105.5614
5876,2011-01-05,329.5,334.34,334.0,329.55,9125700.0,42.4336
5875,2013-07-02,409.47,421.63,418.49,409.96,16780900.0,54.3122
5874,2001-05-02,25.76,26.7,26.59,26.34,6580800.0,1.6891
5873,2016-09-13,107.24,108.79,107.95,107.51,62176190.0,104.8553
5872,2009-05-21,122.89,126.78,124.18,125.15,14569500.0,15.7767
