,Date,Low,High,Close,Open,Volume,Adj Close
5335,1998-06-26,93.75,100.3,94.25,97.5,5191600.0,15.7083
5334,2003-07-30,40.45,41.27,40.66,41.15,7166300.0,40.66
5333,2017-03-08,846.79,853.07,850.5,848.0,2288317.0,850.5
5332,2005-10-19,44.28,45.86,45.86,44.54,6528500.0,45.86
5331,2018-06-08,1673.01,1689.44,1683.99,1681.12,2955110.0,1683.99
5330,2012-06-18,216.73,223.76,222.66,217.28,3369600.0,222.66
5329,2012-08-07,233.25,238.0,236.56,234.13,2058300.0,236.56
5328,2016-07-12,740.33,757.34,748.21,756.86,5623657.0,748.21
5327,2014-06-09,325.65,333.0,327.5,331.57,3212200.0,327.5
5326,2009-10-19,94.25,96.278,94.68,95.35,6017400.0,94.68
5325,2010-01-14,126.4,130.38,127.35,129.14,9774900.0,127.35
5324,2011-02-23,174.39,181.15,176.68,180.25,5482000.0,176.68
5323,2015-04-08,374.65,381.58,381.2,374.66,2636434.0,381.2
5322,2007-01-23,36.3,37.07,36.43,36.9,5313600.0,36.43
5321,2012-05-21,212.82,219.98,218.11,214.03,3579800.0,218.11
5320,2010-06-10,119.2,123.5,123.21,120.0,6061800.0,123.21
5319,1997-05-30,17.75,18.13,18.0,18.0,216200.0,1.5
5318,2004-08-25,38.16,40.49,40.3,39.01,7254800.0,40.3
5317,2010-06-22,121.55,125.23,122.307,122.65,6207200.0,122.307
5316,2004-03-05,43.53,44.83,44.09,43.72,6426500.0,44.09
5315,1999-08-09,84.56,98.0,85.5,91.38,6520700.0,42.75
5314,2008-12-30,48.74,51.21,50.76,49.51,6601300.0,50.76
5313,2009-08-24,84.24,85.59,84.5,85.17,4723200.0,84.5
5312,2006-06-26,36.43,37.17,36.77,36.55,3605800.0,36.77
5311,2009-05-18,73.1,75.96,75.95,73.96,6829100.0,75.95
5310,2007-09-14,86.31,88.09,87.77,86.41,3954700.0,87.77
5309,1997-09-09,36.38,40.63,38.88,37.75,747600.0,3.24
5308,2001-11-23,8.56,9.14,9.08,9.14,4072800.0,9.08
5307,2003-06-10,32.83,34.38,34.07,34.02,9663600.0,34.07
5306,2002-03-25,14.72,15.73,14.74,15.47,5116100.0,14.74
5305,2009-10-29,120.12,124.3,122.577,123.9,12821800.0,122.577
5304,2015-11-11,663.25,675.96,673.25,663.25,5387309.0,673.25
5303,2013-07-24,298.04,303.84,298.94,303.02,2000500.0,298.94
5302,2001-08-23,9.57,10.16,9.63,10.13,4000700.0,9.63
5301,2009-12-08,132.87,136.08,134.11,134.3,8002800.0,134.11
5300,2005-12-14,48.79,49.6,49.41,49.2,4965900.0,49.41
5299,2003-05-01,28.15,28.7,28.66,28.68,7689200.0,28.66
5298,2014-04-09,322.5,332.18,331.805,328.47,5056600.0,331.805
5297,2008-11-06,46.3,51.04,47.22,49.8,15487800.0,47.22
5296,2014-02-03,340.1,360.85,346.15,358.98,10280800.0,346.15
5295,1998-04-03,92.25,96.38,93.0,96.25,974500.0,7.75
5294,2003-04-21,24.9,26.17,25.25,25.03,7132300.0,25.25
5293,2012-05-30,207.752,212.98,209.23,212.14,4078200.0,209.23
5292,2018-05-15,1565.22,1587.8,1576.12,1587.8,5077465.0,1576.12
5291,2016-02-29,552.51,564.81,552.52,554.0,4145396.0,552.52
5290,2003-02-10,20.57,21.41,21.4,21.4,8096500.0,21.4
5289,2017-11-27,1191.15,1213.41,1195.83,1202.66,6701343.0,1195.83
5288,2017-03-10,851.72,857.35,852.46,857.0,2436434.0,852.46
5287,1998-12-30,303.9,343.3,321.3,333.0,5430600.0,53.55
5286,2002-05-28,18.77,19.61,19.06,19.57,3953300.0,19.06
5285,2014-02-10,359.35,365.0,360.87,361.61,3449700.0,360.87
5284,2010-07-08,114.07,117.48,116.22,115.02,6775000.0,116.22
5283,1999-11-09,70.0,83.06,70.81,80.88,26477100.0,70.81
5282,2008-05-15,73.55,76.32,76.12,73.89,6917700.0,76.12
5281,2013-10-09,296.5025,303.4978,298.23,303.42,3247400.0,298.23
5280,2012-10-17,243.3,248.7999,247.49,243.37,3302700.0,247.49
5279,1999-04-16,180.7,191.5,190.0,184.0,15830100.0,95.0
5278,2011-04-04,180.69,183.61,182.94,180.89,4186400.0,182.94
5277,2006-07-14,32.8,33.73,32.92,33.51,8094800.0,32.92
5276,1999-07-13,115.0,127.2,126.1,116.3,10226600.0,63.05
5275,2015-11-30,664.6,681.29,664.8,675.9,5693172.0,664.8
5274,2001-11-09,6.97,7.22,7.12,7.05,4400400.0,7.12
5273,2011-07-15,209.29,214.53,212.87,213.08,4072600.0,212.87
5272,2014-03-31,334.06,346.29,336.365,342.4,4297500.0,336.365
5271,2014-09-09,329.18,341.76,329.75,341.61,4634000.0,329.75
5270,2006-05-12,32.55,33.78,32.73,33.55,4873600.0,32.73
5269,2017-07-14,996.89,1004.45,1001.81,1002.4,2066362.0,1001.81
5268,2013-11-25,373.18,377.79,376.64,373.82,2972300.0,376.64
5267,2015-03-23,374.94,381.77,375.11,378.07,2239343.0,375.11
5266,2010-05-25,118.5,125.19,124.86,118.54,6913400.0,124.86
