,Date,Low,High,Close,Open,Volume,Adj Close
1562,2017-05-01,151.42,152.57,152.46,151.74,24669159.0,152.46
1561,2016-12-02,114.3,116.48,115.4,115.11,25070364.0,115.4
1560,2018-03-06,179.11,182.38,179.78,181.78,15086784.0,179.78
1559,2012-10-17,19.3718,20.48,19.88,19.5,44074500.0,19.88
1558,2012-09-13,20.61,21.48,20.713,20.955,65041600.0,20.713
1557,2014-05-07,56.26,59.3,57.39,58.77,78587000.0,57.39
1556,2015-04-23,82.41,85.59,82.41,84.1,73728080.0,82.41
1555,2018-01-12,177.4,181.48,179.37,178.06,76645626.0,179.37
1554,2017-08-15,170.01,171.5,171.0,171.49,8621787.0,171.0
1553,2013-02-04,28.01,29.2,28.109,29.06,92362200.0,28.109
1552,2017-10-04,168.29,170.67,168.42,169.83,11829323.0,168.42
1551,2015-10-12,92.67,94.6,94.26,93.32,18449562.0,94.26
1550,2018-05-24,185.03,186.8,185.93,185.88,12354742.0,185.93
1549,2017-10-30,177.61,180.69,179.87,179.26,24179258.0,179.87
1548,2017-01-04,117.29,119.66,118.69,117.55,19630932.0,118.69
1547,2012-08-13,21.4,22.45,21.6,22.15,24973100.0,21.6
1546,2015-05-26,79.08,80.6,79.335,80.43,16321339.0,79.335
1545,2013-08-20,37.69,38.58,38.41,38.35,57995200.0,38.41
1544,2016-12-09,118.95,119.94,119.68,119.22,17464736.0,119.68
1543,2017-11-22,180.44,181.73,180.87,181.3,10238140.0,180.87
1542,2014-07-23,69.61,71.33,71.29,69.74,77435900.0,71.29
1541,2012-12-18,26.9,27.91,27.71,26.96,60512900.0,27.71
1540,2012-09-06,18.72,19.2617,18.96,18.74,46066500.0,18.96
1539,2017-05-08,149.74,151.08,151.06,150.71,15662472.0,151.06
1538,2017-06-29,148.92,152.5,151.04,152.28,23771610.0,151.04
1537,2013-11-26,43.55,46.17,45.89,44.66,82016000.0,45.89
1536,2017-04-11,138.81,141.03,139.92,140.8,16638087.0,139.92
1535,2016-06-28,110.55,112.75,112.7,110.63,26813842.0,112.7
1534,2015-01-09,77.2,78.62,77.74,78.2,21004109.0,77.74
1533,2014-03-21,66.1786,67.92,67.24,67.53,59999900.0,67.24
1532,2015-08-10,93.63,95.9,94.15,95.68,21624153.0,94.15
1531,2017-06-27,150.39,153.31,150.58,152.84,19274022.0,150.58
1530,2018-06-13,191.91,194.5,192.41,192.74,15853821.0,192.41
1529,2014-01-15,57.27,58.57,57.6,57.98,33663400.0,57.6
1528,2015-05-01,78.11,79.76,78.99,79.24,24136358.0,78.99
1527,2015-03-26,82.14,83.77,83.01,82.72,32794800.0,83.01
1526,2017-05-25,149.95,152.59,151.96,150.3,19780399.0,151.96
1525,2013-12-27,55.25,57.68,55.44,57.48,60466000.0,55.44
1524,2016-09-02,126.0,126.86,126.51,126.85,12118773.0,126.51
1523,2014-07-02,65.79,68.3,66.45,68.04,41805900.0,66.45
1522,2015-02-19,76.95,79.84,79.42,76.986,45851177.0,79.42
1521,2013-05-14,26.82,27.28,27.07,26.8854,24930300.0,27.07
1520,2017-03-13,138.67,139.68,139.6,138.71,10955450.0,139.6
1519,2014-12-19,78.33,80.0,79.88,78.75,43334992.0,79.88
1518,2012-08-31,18.03,18.7,18.058,18.68,58764200.0,18.058
1517,2015-04-06,80.8,82.81,82.44,80.8,19062934.0,82.44
1516,2014-04-11,57.31,60.31,58.53,57.6,91452000.0,58.53
1515,2016-06-09,117.71,118.68,118.56,118.13,13859240.0,118.56
1514,2017-09-20,170.7,173.05,172.17,172.5,11899057.0,172.17
1513,2016-03-09,105.49,107.51,107.51,106.7,20493305.0,107.51
1512,2017-10-13,173.2,174.65,173.74,173.45,13305724.0,173.74
1511,2016-11-04,119.25,121.93,120.75,119.59,30545466.0,120.75
1510,2014-10-23,79.01,80.63,80.04,79.38,35055800.0,80.04
1509,2012-11-14,19.93,22.5,22.36,20.1,229751000.0,22.36
1508,2016-08-08,124.55,125.45,125.26,125.25,15233929.0,125.26
1507,2013-06-04,23.32,23.93,23.52,23.89,34760800.0,23.52
1506,2017-04-26,146.09,147.59,146.56,147.09,11324335.0,146.56
1505,2014-11-21,73.5,74.5,73.75,74.5,23060382.0,73.75
1504,2015-09-10,89.63,92.06,91.98,90.07,26437398.0,91.98
1503,2016-08-03,122.31,123.92,122.51,123.09,18525332.0,122.51
1502,2014-10-14,72.05,74.18,73.59,74.0,50299288.0,73.59
1501,2018-04-03,150.81,157.39,156.11,156.55,42543865.0,156.11
1500,2013-03-18,25.78,26.79,26.49,26.37,26653700.0,26.49
1499,2015-12-14,101.46,104.74,104.66,102.285,24813496.0,104.66
1498,2014-07-30,74.13,75.19,74.677,74.21,36823000.0,74.677
1497,2017-07-05,148.13,150.85,150.34,149.0,14037692.0,150.34
1496,2015-02-02,73.75,76.14,74.99,76.11,41955258.0,74.99
1495,2013-07-02,24.3,24.77,24.41,24.7,18394100.0,24.41
1494,2016-09-13,126.66,128.35,127.21,128.03,18016152.0,127.21
1493,2014-05-08,56.5,58.82,56.76,57.23,61251000.0,56.76
1492,2015-10-20,96.56,99.59,97.0,98.73,30881777.0,97.0
1491,2015-01-20,74.82,76.31,76.24,75.72,22821614.0,76.24
1490,2014-08-27,74.46,75.49,74.63,75.27,36238700.0,74.63
1489,2012-10-25,22.47,23.31,22.56,23.29,76142000.0,22.56
1488,2016-11-22,120.9,122.98,121.47,122.4,26089163.0,121.47
1487,2013-06-27,24.21,24.84,24.66,24.24,34694100.0,24.66
1486,2017-05-05,149.79,151.63,150.24,151.45,17051519.0,150.24
1485,2017-08-25,166.18,168.38,166.32,167.86,12391910.0,166.32
1484,2012-09-05,18.18,18.75,18.58,18.27,60781800.0,18.58
1483,2013-03-15,26.56,27.06,26.645,27.03,31597400.0,26.645
1482,2017-12-06,171.9,176.77,176.06,172.5,20059293.0,176.06
1481,2013-11-12,45.83,47.37,46.605,46.0,68196000.0,46.605
1480,2017-06-09,146.61,155.59,149.6,154.77,35256368.0,149.6
1479,2013-03-11,27.83,28.64,28.14,28.01,35642100.0,28.14
1478,2012-07-11,30.55,31.56,30.97,31.48,13030300.0,30.97
1477,2017-07-31,168.55,172.72,169.25,172.0,25157896.0,169.25
1476,2018-01-29,185.6301,188.84,185.98,188.75,20022931.0,185.98
1475,2017-06-12,144.56,149.2,148.44,148.17,33238543.0,148.44
1474,2018-03-15,182.19,184.0,183.86,183.24,15461869.0,183.86
1473,2015-07-14,89.65,90.8,89.68,90.46,26627849.0,89.68
1472,2015-02-17,75.08,76.91,75.6,75.3,25254400.0,75.6
1471,2014-01-06,54.05,57.26,57.2,54.42,68852600.0,57.2
1470,2014-08-22,73.57,74.73,74.57,74.34,20874600.0,74.57
1469,2015-07-29,94.74,97.28,96.99,96.32,64648320.0,96.99
1468,2015-12-29,106.25,107.74,107.26,106.42,17179901.0,107.26
1467,2017-07-14,159.33,160.32,159.97,160.13,16172560.0,159.97
1466,2014-05-30,62.56,64.17,63.3,63.95,45253500.0,63.3
1465,2018-01-19,180.1702,182.37,181.29,180.85,26266081.0,181.29
1464,2016-02-22,105.34,108.25,107.16,105.49,35709714.0,107.16
1463,2013-01-16,29.53,30.35,29.85,30.21,75332700.0,29.85
1462,2015-12-09,103.55,106.44,104.6,106.18,23517268.0,104.6
1461,2016-05-02,116.57,118.73,118.57,117.83,28095168.0,118.57
1460,2013-02-21,27.15,28.55,27.283,28.28,49642300.0,27.283
1459,2014-07-11,64.79,66.59,66.34,65.28,39167800.0,66.34
1458,2014-02-06,61.46,62.78,62.16,61.46,42086500.0,62.16
1457,2013-10-10,47.83,49.68,49.05,47.865,99774000.0,49.05
1456,2014-03-17,66.62,68.95,68.7399,68.18,52197000.0,68.7399
1455,2017-04-24,144.34,145.67,145.47,144.96,14397448.0,145.47
1454,2017-05-12,149.63,150.46,150.33,150.4,9497040.0,150.33
1453,2014-07-08,62.21,65.56,62.76,65.06,68855600.0,62.76
1452,2016-10-25,132.22,133.5,132.29,133.5,13336787.0,132.29
1451,2013-06-25,24.04,24.43,24.25,24.14,24713200.0,24.25
1450,2016-02-18,103.03,106.0,103.47,105.8,29593508.0,103.47
1449,2014-12-26,80.51,81.28,80.775,81.02,10647388.0,80.775
1448,2012-11-20,22.7,23.9,23.1,22.73,46655300.0,23.1
1447,2015-12-15,104.28,105.8,104.55,105.3,21764331.0,104.55
1446,2013-04-26,26.6,27.62,26.85,26.6,33018000.0,26.85
1445,2018-04-26,170.8,176.27,174.16,173.22,77556934.0,174.16
1444,2015-03-10,77.55,79.26,77.55,78.5,23067057.0,77.55
1443,2016-12-01,114.0,118.45,115.1,118.38,43276994.0,115.1
1442,2015-10-07,91.37,93.66,92.4,93.11,24129277.0,92.4
1441,2016-06-06,118.36,119.43,118.79,118.62,12744676.0,118.79
1440,2014-06-12,64.06,66.47,64.2901,65.85,55642800.0,64.2901
1439,2017-12-22,176.23,177.53,177.2,177.14,8462491.0,177.2
1438,2018-03-16,183.41,185.33,185.09,184.49,23090480.0,185.09
1437,2014-07-31,72.44,74.165,72.65,74.0,43909200.0,72.65
1436,2018-07-20,208.5,211.5,209.94,208.85,16241508.0,209.94
1435,2016-12-29,116.06,117.531,116.35,117.0,9934873.0,116.35
