,Date,Low,High,Close,Open,Volume,Adj Close
5939,2000-04-24,65.0,68.0,66.62,67.25,156822900.0,21.9771
5938,1996-10-30,134.88,137.0,136.25,135.38,3782900.0,5.6184
5937,2002-10-08,44.13,45.98,44.99,44.75,57833800.0,14.8416
5936,2012-10-17,29.09,29.64,29.59,29.3,44206100.0,25.4735
5935,2005-12-16,26.81,27.08,26.9,26.88,88542500.0,20.218
5934,2012-01-30,28.83,29.62,29.61,28.97,51114800.0,24.9908
5933,2010-11-05,26.53,27.19,26.85,27.17,110953700.0,21.9402
5932,1998-04-28,89.02,92.25,89.87,92.12,14167000.0,14.8235
5931,2001-08-07,65.99,67.05,66.35,66.04,15673900.0,21.888
5930,1996-10-08,135.0,137.75,135.38,137.75,3029100.0,5.5825
5929,2008-02-27,28.1,28.68,28.26,28.19,75199500.0,21.9215
5928,1996-01-24,89.5,92.5,91.25,89.87,5763600.0,3.7628
5927,2013-02-04,27.42,28.02,27.44,27.87,50540000.0,23.8232
5926,1996-11-08,141.5,143.5,143.5,143.38,4210600.0,5.9173
5925,2018-05-24,96.81,98.94,98.31,98.725,26649287.0,98.31
5924,1995-11-10,96.61,99.0,96.87,98.5,3801200.0,3.9945
5923,2009-09-09,24.665,24.95,24.78,24.74,49900300.0,19.8739
5922,2009-01-20,18.37,19.62,18.48,19.46,89873000.0,14.5417
5921,2010-02-03,28.12,28.79,28.63,28.26,61397900.0,23.0612
5920,2008-11-17,19.15,20.24,19.32,19.74,97289000.0,15.1026
5919,2000-10-26,60.81,65.06,64.44,61.0,57413300.0,21.2579
5918,2005-02-28,25.1296,25.37,25.16,25.22,82728000.0,18.7411
5917,2002-12-05,55.3,57.09,55.34,56.95,34217900.0,18.256
5916,2005-06-27,25.03,25.25,25.05,25.07,61636200.0,18.7178
5915,2017-04-11,64.85,65.61,65.48,65.6,18791533.0,63.8702
5914,2016-06-28,48.67,49.47,49.44,48.92,38140658.0,47.3229
5913,2000-08-02,68.5,70.44,69.37,68.56,24134600.0,22.8843
5912,1995-12-06,86.0,91.0,90.62,86.12,9079500.0,3.7368
5911,1996-03-18,102.37,105.87,105.25,102.37,7467000.0,4.3401
5910,2010-03-17,29.4,29.87,29.63,29.5,50385700.0,23.9761
5909,2005-04-04,23.94,24.26,24.23,24.11,62196400.0,18.0484
5908,1996-03-07,96.62,97.62,97.31,97.12,2768200.0,4.0127
5907,2005-06-02,25.64,25.86,25.79,25.72,27212500.0,19.2707
5906,1997-08-15,132.75,136.0,132.88,135.5,6384800.0,10.9588
5905,2002-02-06,60.25,61.89,60.4,61.61,33051500.0,19.9252
5904,1998-08-11,102.0,104.37,103.44,102.87,15244100.0,17.0618
