,Date,Low,High,Close,Open,Volume,Adj Close
4078,2004-06-10,30.8,31.65,31.19,31.4,556300.0,4.4557
4077,2017-05-01,151.61,157.7,155.35,151.91,8964849.0,155.35
4076,2002-10-08,5.47,5.99,5.67,5.75,323700.0,0.405
4075,2012-10-17,65.64,68.82,68.52,66.01,3780600.0,9.7886
4074,2005-12-16,26.02,27.04,26.3,26.145,2797000.0,3.7571
4073,2015-12-02,124.93,131.35,128.93,125.53,24105712.0,128.93
4072,2012-01-30,123.22,129.48,125.43,124.76,15118000.0,17.9186
4071,2004-09-27,16.05,16.6,16.34,16.49,1046800.0,2.3343
4070,2004-12-13,11.96,12.93,12.78,12.02,3631200.0,1.8257
4069,2007-06-21,19.5148,20.32,19.99,19.54,1439700.0,2.8557
4068,2018-01-12,216.0,222.55,221.23,217.18,8150809.0,221.23
4067,2008-02-27,30.0,32.54,32.43,30.59,5897600.0,4.6329
4066,2013-02-04,162.78,175.13,174.74,162.78,7281300.0,24.9628
4065,2004-08-10,16.42,17.59,17.14,16.73,2616700.0,2.4486
4064,2018-05-24,341.12,354.0,349.29,344.34,14758553.0,349.29
4063,2004-04-07,35.0,36.36,35.63,35.74,1229600.0,5.09
4062,2012-08-13,58.5,61.25,59.91,61.22,4760700.0,8.5586
4061,2014-10-24,380.81,387.0,385.02,382.58,2094690.0,55.0028
4060,2009-09-09,41.4,43.9701,43.23,41.4,2535300.0,6.1757
4059,2015-11-10,108.01,112.84,112.7,108.86,11166372.0,112.7
4058,2015-05-26,614.504,623.429,615.95,622.12,1377960.0,87.9928
4057,2013-08-20,262.5,273.54,273.29,262.93,4305800.0,39.0414
4056,2005-10-17,28.25,29.2,29.1,28.8,842000.0,4.1571
4055,2018-01-18,216.55,220.58,220.33,220.34,8104960.0,220.33
4054,2010-02-03,61.33,62.88,61.95,61.85,1251600.0,8.85
4053,2008-11-17,21.03,22.1,21.25,22.09,1025100.0,3.0357
4052,2009-05-22,38.6,39.856,38.8,39.55,608800.0,5.5429
4051,2005-02-28,10.5,11.1,10.7,11.08,944000.0,1.5286
4050,2002-12-05,10.78,12.1,11.0,12.02,902300.0,0.7857
4049,2017-06-29,148.0,152.82,150.09,152.82,7106930.0,150.09
4048,2013-11-26,347.57,356.46,355.2,350.5,2097600.0,50.7428
4047,2002-07-05,16.99,18.19,17.87,17.0,143100.0,1.2764
4046,2017-04-11,141.98,144.54,144.35,144.28,4621451.0,144.35
4045,2016-06-28,86.41,88.88,87.97,87.41,11545631.0,87.97
4044,2015-01-09,328.29,336.14,329.29,333.42,1360725.0,47.0414
4043,2015-08-10,121.51,126.5,123.03,126.09,13424574.0,123.03
4042,2003-07-22,23.48,24.99,24.7,23.53,823200.0,1.7643
4041,2005-03-10,9.86,10.099,9.89,9.97,736200.0,1.4129
4040,2010-03-17,70.4,71.7399,70.92,70.9,627200.0,10.1314
4039,2005-04-04,10.61,11.0,10.96,10.96,890400.0,1.5657
4038,2015-05-01,552.26,559.77,557.03,558.99,1272298.0,79.5756
4037,2005-06-02,14.38,15.05,14.88,14.43,1238100.0,2.1257
4036,2005-08-22,21.15,21.79,21.45,21.49,594900.0,3.0643
4035,2003-09-03,32.96,35.44,33.3,34.52,1702400.0,2.3786
4034,2013-12-27,365.81,378.75,367.5,377.11,2421200.0,52.4999
4033,2007-03-29,22.88,23.62,23.45,23.41,954500.0,3.35
4032,2010-02-17,63.43,64.79,64.51,64.79,1162000.0,9.2157
4031,2012-02-03,123.34,127.49,126.43,125.0,6684000.0,18.0614
4030,2013-05-14,230.8,236.59,233.97,231.99,5505100.0,33.4243
4029,2005-12-01,27.05,27.84,27.11,27.745,653800.0,3.8729
4028,2006-08-24,18.21,18.8,18.57,18.62,1089800.0,2.6529
4027,2017-03-13,140.32,143.71,143.52,140.9,4922432.0,143.52
4026,2011-11-14,85.45,88.1,85.72,87.99,3115900.0,12.2457
4025,2010-12-31,175.53,179.74,175.7,179.05,3080400.0,25.1
4024,2013-11-20,337.65,346.35,339.52,343.35,2783100.0,48.5028
4023,2004-02-06,72.47,76.8,76.63,73.3,2254200.0,5.4736
4022,2005-03-11,9.37,9.999,9.43,9.99,1364300.0,1.3471
4021,2004-06-18,29.36,30.18,29.55,29.89,1122600.0,4.2214
4020,2004-08-25,15.26,15.95,15.67,15.55,1074800.0,2.2386
4019,2014-05-16,339.84,349.97,349.88,345.47,2724600.0,49.9828
4018,2014-10-23,378.2501,385.77,383.04,380.52,2846691.0,54.7199
4017,2006-06-30,26.5,27.52,27.21,27.25,1009500.0,3.8871
4016,2012-05-14,75.61,78.65,76.96,77.13,5407100.0,10.9943
4015,2012-01-04,71.81,80.97,80.45,72.35,14355700.0,11.4928
4014,2006-12-27,26.47,27.02,26.49,27.0,662100.0,3.7843
4013,2003-10-13,44.3,46.85,46.83,44.4,1506400.0,3.345
4012,2013-06-04,218.57,227.55,225.31,220.115,3286700.0,32.1871
4011,2014-10-14,438.13,451.99,449.12,445.51,2394243.0,64.1599
4010,2018-04-03,278.01,291.25,283.67,285.45,12694862.0,283.67
4009,2007-06-18,19.9,20.4499,20.02,20.42,1748000.0,2.86
4008,2010-07-19,115.15,120.13,118.9,117.77,1891300.0,16.9857
4007,2004-03-11,29.34,31.5,30.02,30.44,4589500.0,4.2886
4006,2010-05-11,95.58,102.15,99.82,95.65,3300100.0,14.26
4005,2007-01-12,22.69,23.88,22.71,23.8563,3167300.0,3.2443
4004,2017-07-05,145.58,148.26,147.61,146.58,4469163.0,147.61
4003,2015-02-02,433.69,444.0,441.065,439.9,1855827.0,63.0092
4002,2011-01-05,178.71,182.79,179.73,181.15,4542800.0,25.6757
4001,2003-02-25,13.51,14.85,14.65,13.81,330700.0,1.0464
4000,2013-07-02,218.0,227.47,221.46,225.23,2532900.0,31.6371
3999,2016-09-13,95.33,98.0,96.09,97.17,11788078.0,96.09
3998,2009-05-21,38.54,40.64,39.11,40.0,1423500.0,5.5871
3997,2004-03-12,30.05,30.84,30.77,30.4,2035100.0,4.3957
3996,2015-10-20,97.58,102.11,98.99,101.06,17345614.0,98.99
3995,2003-04-25,20.898,22.2,21.15,21.99,1065900.0,1.5107
3994,2010-01-04,52.96,55.73,53.48,55.52,2462800.0,7.64
3993,2009-10-23,49.73,57.5,54.89,49.815,7255400.0,7.8414
3992,2008-07-02,26.7,27.32,27.25,27.01,1886400.0,3.8929
3991,2007-12-03,23.57,24.8,23.78,24.0,1305400.0,3.3971
3990,2007-04-27,21.93,22.28,22.21,22.2,805400.0,3.1729
3989,2012-10-25,59.9,61.665,61.51,60.05,4720900.0,8.7871
3988,2006-10-04,22.81,23.37,23.2,22.96,749600.0,3.3143
3987,2009-09-23,46.8,47.99,46.85,47.95,725700.0,6.6929
3986,2013-06-27,209.6,216.732,214.97,212.91,2618100.0,30.71
3985,2017-05-05,155.9,158.59,156.6,158.55,5316045.0,156.6
3984,2008-05-01,30.34,31.98,31.0,31.67,2474800.0,4.4286
