,Date,Low,High,Close,Open,Volume,Adj Close
2039,2010-07-27,20.26,21.18,20.55,20.91,619700.0,20.55
2038,2017-05-01,314.81,327.25,322.83,314.88,8480546.0,322.83
2037,2016-12-02,180.0,184.88,181.47,182.88,4042324.0,181.47
2036,2018-03-06,327.03,336.37,328.2,333.75,4285744.0,328.2
2035,2012-10-17,27.8,28.84,28.8191,28.25,668000.0,28.8191
2034,2012-09-13,28.48,29.5,29.48,28.57,1484700.0,29.48
2033,2014-05-07,197.25,210.2,201.35,209.64,10179300.0,201.35
2032,2015-04-23,217.1501,221.48,218.6,218.27,4411184.0,218.6
2031,2018-01-12,333.67,340.41,336.22,338.63,4805025.0,336.22
2030,2017-08-15,359.37,365.49,362.33,365.2,3048074.0,362.33
2029,2013-02-04,37.59,38.42,37.74,38.4,1128000.0,37.74
2028,2017-10-04,349.6,358.62,355.01,351.25,8120353.0,355.01
2027,2015-10-12,215.27,223.0,215.58,222.99,3836303.0,215.58
2026,2018-05-24,274.89,281.11,277.85,278.4,4176708.0,277.85
2025,2017-10-30,317.25,323.78,320.08,319.18,4236029.0,320.08
2024,2017-01-04,214.31,228.0,226.99,214.75,11213471.0,226.99
2023,2012-08-13,29.101,31.3,31.17,29.69,870100.0,31.17
2022,2011-12-21,26.03,28.07,27.57,27.91,1705500.0,27.57
2021,2011-07-12,28.0,29.09,28.17,28.37,1045400.0,28.17
2020,2015-05-26,246.5,252.0,247.455,247.68,3498682.0,247.455
2019,2013-08-20,147.0,149.78,149.58,148.65,6418200.0,149.58
2018,2010-12-22,31.7,32.86,32.63,32.25,833300.0,32.63
2017,2016-12-09,190.81,193.836,192.18,190.87,2722505.0,192.18
2016,2011-03-29,23.21,24.0,23.92,23.3,755400.0,23.92
2015,2017-11-22,311.84,317.42,312.6,316.77,4890091.0,312.6
2014,2014-07-23,219.43,224.75,222.49,220.01,3083300.0,222.49
2013,2012-12-18,34.26,35.07,34.59,34.26,1553900.0,34.59
2012,2012-09-06,27.9,28.9,28.55,28.0,841700.0,28.55
2011,2017-05-08,305.82,313.79,307.19,310.9,6981229.0,307.19
2010,2017-06-29,354.1,371.0,360.75,370.61,8180408.0,360.75
2009,2013-11-26,116.1,122.72,120.5,119.38,13885500.0,120.5
2008,2017-04-11,305.5,313.47,308.71,313.38,5724577.0,308.71
2007,2016-06-28,199.41,204.05,201.79,201.89,6212422.0,201.79
2006,2015-01-09,204.96,209.98,206.66,208.92,4580722.0,206.66
2005,2014-03-21,227.5,236.2,228.89,236.02,8216900.0,228.89
2004,2015-08-10,236.05,242.97,241.14,238.15,4185860.0,241.14
2003,2017-06-27,362.02,376.4,362.37,376.4,6884529.0,362.37
2002,2012-01-30,28.529,29.61,29.57,29.49,729000.0,29.57
2001,2018-06-13,339.8,347.2,344.78,346.706,9469804.0,344.78
2000,2011-06-30,28.4,29.33,29.13,28.5,946700.0,29.13
1999,2014-01-15,162.1,172.23,164.13,168.45,20465600.0,164.13
1998,2015-05-01,220.405,231.77,226.03,229.94,5281689.0,226.03
1997,2015-03-26,189.7,194.79,190.405,193.92,4127956.0,190.405
1996,2012-01-18,26.25,26.88,26.81,26.69,1260200.0,26.81
1995,2011-01-19,23.75,25.47,24.03,25.27,2371500.0,24.03
1994,2011-01-12,26.52,27.399,26.96,27.01,964400.0,26.96
1993,2017-05-25,307.81,316.97,316.83,311.02,4819412.0,316.83
1992,2013-12-27,150.8,155.4999,151.12,155.3,5460200.0,151.12
1991,2016-09-02,196.2,203.2,197.78,202.33,5977413.0,197.78
1990,2014-07-02,227.07,242.33,229.425,240.66,8027400.0,229.425
1989,2012-02-03,30.25,31.33,31.15,30.41,764500.0,31.15
1988,2015-02-19,203.75,212.44,211.705,205.0,5154148.0,211.705
1987,2013-05-14,81.15,97.12,83.24,94.22,37163900.0,83.24
1986,2011-12-15,28.12,29.17,28.62,28.67,700300.0,28.62
1985,2017-03-13,242.78,246.85,246.17,244.82,3022625.0,246.17
1984,2014-12-19,214.5,220.4,219.29,220.19,6910461.0,219.29
1983,2012-08-31,28.2,28.84,28.52,28.61,539800.0,28.52
1982,2015-04-06,197.5,207.75,203.1,198.0,12455811.0,203.1
1981,2010-12-31,26.5,27.25,26.63,26.57,1417900.0,26.63
1980,2014-04-11,198.6,207.0,203.78,200.61,9067200.0,203.78
1979,2016-06-09,227.06,235.33,229.36,234.98,4492075.0,229.36
1978,2017-09-20,371.07,378.25,373.91,373.0,4892872.0,373.91
1977,2016-03-09,202.79,209.3726,208.72,204.52,3208554.0,208.72
1976,2017-10-13,353.68,358.49,355.57,356.98,3528413.0,355.57
1975,2016-11-04,185.96,193.46,190.56,189.0,5146043.0,190.56
1974,2014-10-23,232.0,236.28,235.29,234.655,3499882.0,235.29
1973,2012-11-14,31.204,32.12,31.38,31.96,871300.0,31.38
1972,2012-04-19,32.5,33.43,33.16,32.75,774900.0,33.16
1971,2016-08-08,226.09,229.6,226.16,228.0,2263584.0,226.16
1970,2013-06-04,92.4001,96.42,94.84,92.75,8856100.0,94.84
1969,2017-04-26,309.0,314.5,310.17,312.37,4184186.0,310.17
1968,2014-11-21,242.17,252.78,242.78,252.21,7485059.0,242.78
1967,2015-09-10,245.33,250.7231,248.48,247.23,2709024.0,248.48
1966,2016-08-03,224.21,229.699,225.79,227.37,3887759.0,225.79
1965,2011-04-13,24.81,25.69,24.93,25.13,1211500.0,24.93
1964,2014-10-14,223.0,232.47,227.06,228.25,7112339.0,227.06
1963,2018-04-03,254.49,273.35,267.53,269.82,18844384.0,267.53
1962,2013-03-18,34.92,36.06,35.15,35.3,1316100.0,35.15
1961,2015-12-14,214.87,220.92,218.58,217.51,2831518.0,218.58
1960,2014-07-30,221.04,229.6,228.92,221.92,4917600.0,228.92
1959,2012-04-24,31.0,32.2,31.82,31.82,674500.0,31.82
1958,2017-07-05,326.33,347.24,327.09,347.2,16883496.0,327.09
1957,2015-02-02,203.3,211.9499,210.94,203.97,4149186.0,210.94
1956,2011-01-05,26.19,26.9,26.83,26.48,1446700.0,26.83
1955,2011-02-08,23.0,25.25,24.49,23.78,3504900.0,24.49
1954,2013-07-02,115.5,121.89,117.82,118.255,12064100.0,117.82
1953,2011-09-27,25.57,26.99,26.19,26.0,674500.0,26.19
1952,2016-09-13,193.45,198.49,196.05,197.06,3589379.0,196.05
1951,2014-05-08,178.0,194.4,178.59,182.0,20056600.0,178.59
1950,2015-10-20,202.0,228.6,213.03,227.72,14900047.0,213.03
1949,2015-01-20,187.04,194.1199,191.93,193.87,4503182.0,191.93
1948,2010-12-28,25.0,26.75,26.41,25.85,4056300.0,26.41
1947,2014-08-27,260.29,264.24,263.25,263.5,2985100.0,263.25
1946,2012-10-25,27.45,27.8,27.52,27.8,577700.0,27.52
1945,2016-11-22,183.71,191.47,191.17,185.84,5603361.0,191.17
1944,2013-06-27,106.132,110.25,109.25,106.75,8744900.0,109.25
1943,2017-05-05,296.8,308.55,308.35,298.0,8084153.0,308.35
1942,2012-04-20,32.94,33.7299,33.16,33.14,821800.0,33.16
1941,2017-08-25,347.3,355.69,348.05,354.24,3461744.0,348.05
1940,2012-09-05,27.81,28.5,27.94,28.01,639300.0,27.94
1939,2013-03-15,35.21,36.65,35.29,36.64,3279600.0,35.29
1938,2011-03-04,23.78,24.99,24.95,24.48,1580100.0,24.95
1937,2017-12-06,300.0,313.39,313.26,300.1,7160938.0,313.26
1936,2013-11-12,136.18,144.7,137.8,144.69,14985200.0,137.8
1935,2017-06-09,354.8,376.87,357.32,374.42,17160231.0,357.32
1934,2013-03-11,38.65,39.44,39.1,38.87,1579500.0,39.1
1933,2011-06-07,28.26,29.39,28.37,28.94,1222100.0,28.37
1932,2012-07-11,31.01,31.68,31.51,31.57,638600.0,31.51
1931,2011-05-31,29.55,30.28,30.14,29.69,3290500.0,30.14
1930,2017-07-31,321.04,341.49,323.47,335.5,8499335.0,323.47
1929,2018-01-29,338.28,350.85,349.53,339.85,4722025.0,349.53
1928,2017-06-12,350.62,364.5,359.01,357.99,10476833.0,359.01
1927,2018-03-15,321.1,332.85,325.6,329.38,6366922.0,325.6
1926,2015-07-14,260.51,265.9899,265.65,262.1,1907641.0,265.65
1925,2015-02-17,201.5,205.7,204.35,205.7,3979647.0,204.35
1924,2014-01-06,145.24,150.4,147.0,150.0,5361100.0,147.0
1923,2014-08-22,252.61,256.9499,256.78,254.54,2833400.0,256.78
1922,2015-07-29,262.0,267.89,263.82,264.27,2790095.0,263.82
1921,2015-12-29,229.547,237.72,237.19,230.06,2406290.0,237.19
1920,2017-07-14,321.22,328.42,327.78,323.19,5590393.0,327.78
1919,2014-05-30,207.02,214.8,207.77,210.3,5581100.0,207.77
